title,magnitude,date_time,Community Determined Intensity,alert,tsunami,TUSNAMI,Significance score,net,dmin,magType,depth,latitude,longitude,location,continent,country
"M 6.6 - 20 km SW of Monte Patria, Chile",6.6,2002-06-18 13:56:00,0,,No,0,670,us,0,mwb,54,-30.805,-71.124,"Monte Patria, Chile",South America,Chile
"M 6.7 - 190 km NW of Sola, Vanuatu",6.7,2002-06-17 21:26:00,0,,No,0,691,us,0,mwc,33,-12.592,166.383,"Sola, Vanuatu",Oceania,Vanuatu
"M 7.1 - 20 km SSW of Merizo Village, Guam",7.1,2002-04-26 16:06:00,0,,No,0,776,us,0,mwc,85.7,13.088,144.619,"Merizo Village, Guam",Oceania,Guam
"M 6.7 - 31 km SW of CopiapÃ³, Chile",6.7,2002-04-18 16:08:00,0,,No,0,691,us,0,mwb,62,-27.535,-70.586,"CopiapÃ³, Chile",South America,Chile
"M 6.8 - 27 km SSW of Nuxco, Mexico",6.8,2002-04-18 05:02:00,0,,No,0,711,us,0,mwc,24.9,16.985,-100.865,"Nuxco, Mexico",North America,Mexico
"M 7.1 - 67 km ENE of Hualien City, Taiwan",7.1,2002-03-31 06:52:00,0,,No,0,776,us,0,mwc,32.8,24.279,122.179,"Hualien City, Taiwan",Asia,"Taiwan, Province of China"
"M 6.5 - 107 km NE of Calama, Chile",6.5,2002-03-28 04:56:00,0,,No,0,650,us,0,mwc,125.1,-21.663,-68.329,"Calama, Chile",South America,Chile
"M 7.5 - Mindanao, Philippines",7.5,2002-03-05 21:16:00,0,,No,0,865,us,0,mwc,31,6.033,124.249,"Mindanao, Philippines",Asia,Philippines
"M 7.4 - 51 km SW of Jurm, Afghanistan",7.4,2002-03-03 12:08:00,0,,No,0,842,us,0,mwc,225.6,36.502,70.482,"Jurm, Afghanistan",Asia,Afghanistan
"M 6.6 - 125 km E of Kimbe, Papua New Guinea",6.6,2002-02-05 13:27:00,0,,No,0,670,us,0,mwc,39,-5.345,151.248,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea
"M 6.5 - 5 km NE of Sultanda??, Turkey",6.5,2002-02-03 07:11:00,0,,No,0,650,us,0,mwc,5,38.573,31.271,"Sultanda??, Turkey",Asia,Türkiye
"M 6.7 - 11 km SE of Aitape, Papua New Guinea",6.7,2002-01-10 11:14:00,0,,No,0,691,us,0,mwc,11,-3.212,142.427,"Aitape, Papua New Guinea",Oceania,Papua New Guinea
"M 6.6 - 33 km WNW of Port-Vila, Vanuatu",6.6,2002-01-03 10:17:00,0,,No,0,670,us,0,mwc,10,-17.664,168.004,"Port-Vila, Vanuatu",Oceania,Vanuatu
"M 7.2 - 50 km WNW of Port-Vila, Vanuatu",7.2,2002-01-02 17:22:00,0,,No,0,798,us,0,mwc,21,-17.6,167.856,"Port-Vila, Vanuatu",Oceania,Vanuatu
"M 6.8 - 22 km WNW of Malango, Solomon Islands",6.8,2001-12-23 22:52:00,0,,No,0,711,us,0,mwc,16,-9.613,159.53,"Malango, Solomon Islands",Oceania,Solomon Islands
"M 6.8 - 62 km SSW of Yonakuni, Japan",6.8,2001-12-18 04:02:00,0,,No,0,711,us,0,mwc,14,23.954,122.734,"Yonakuni, Japan",Asia,Japan
"M 6.5 - 3 km NW of Hanamaki, Japan",6.5,2001-12-02 13:01:00,0,,No,0,650,us,0,mwc,123.8,39.402,141.089,"Hanamaki, Japan",Asia,Japan
"M 7.8 - Southern Qinghai, China",7.8,2001-11-14 09:26:00,0,,No,0,936,us,0,mwc,10,35.946,90.541,"Southern Qinghai, China",Asia,China
"M 7.0 - 40 km S of Kimbe, Papua New Guinea",7,2001-10-31 09:10:00,0,,No,0,754,us,0,mwc,33,-5.912,150.196,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea
"M 7.5 - 155 km E of Kendari, Indonesia",7.5,2001-10-19 03:28:00,0,,No,0,865,us,0,mwc,33,-4.102,123.907,"Kendari, Indonesia",Asia,Indonesia
"M 7.0 - 69 km SSE of Inarajan Village, Guam",7,2001-10-12 15:02:00,0,,No,0,754,us,0,mwc,37,12.686,144.98,"Inarajan Village, Guam",Oceania,Guam
"M 6.5 - 108 km WNW of Manokwari, Indonesia",6.5,2001-09-11 14:56:00,0,,No,0,650,us,0,mwc,33,-0.578,133.13,"Manokwari, Indonesia",Asia,Indonesia
"M 6.6 - 74 km S of Kokhanok, Alaska",6.6,2001-07-28 07:32:00,6,,No,0,754,ak,0,mw,131.8,58.775,-154.701,"Kokhanok, Alaska",North America,United States
"M 6.5 - 32 km WNW of SkÃ½ros, Greece",6.5,2001-07-26 00:21:00,0,,No,0,650,us,0,mwc,10,39.059,24.244,"SkÃ½ros, Greece",Europe,Greece
