title,magnitude,date_time,Community Determined Intensity,alert,tsunami,TUSNAMI,Significance score,net,dmin,magType,depth,latitude,longitude,location,continent,country
M 6.6 - South Sandwich Islands region,6.6,2021-08-22 00:45:00,1,green,Yes,1,670,us,8.865,mww,7,-60.1023,-24.4608,South Sandwich Islands region,Antarctica,South Georgia and the South Sandwich Islands
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,2021-08-18 10:10:00,8,green,Yes,1,741,us,0.579,mww,93,-14.892,167.085,"Port-Olry, Vanuatu",Oceania,Vanuatu
M 6.9 - South Sandwich Islands region,6.9,2021-08-16 11:10:00,6,green,Yes,1,734,us,8.363,mww,16.7,-58.3814,-23.3318,South Sandwich Islands region,South America,South Georgia and the South Sandwich Islands
"M 7.2 - Nippes, Haiti",7.2,2021-08-14 12:29:00,9,red,Yes,1,2331,us,1.178,mww,10,18.3521,-73.4804,"Nippes, Haiti",North America,Haiti
"M 6.9 - 136 km SE of Perryville, Alaska",6.9,2021-08-14 11:57:00,5,green,Yes,1,738,ak,0,mww,33.3,55.2364,-157.707,"Perryville, Alaska",North America,United States
"M 6.9 - 125 km SE of Perryville, Alaska",6.9,2021-08-14 11:57:00,5,green,Yes,1,738,us,1.173,mww,20.74,55.2657,-157.68,"Perryville, Alaska",North America,United States
M 8.1 - South Sandwich Islands region,8.1,2021-08-12 18:35:00,0,green,No,0,1009,us,7.463,mww,22.79,-58.4157,-25.3206,South Sandwich Islands region,South America,South Georgia and the South Sandwich Islands
M 7.5 - South Sandwich Islands region,7.5,2021-08-12 18:32:00,9,green,Yes,1,868,us,7.227,mww,47.23,-57.5959,-25.1874,South Sandwich Islands region,South America,South Georgia and the South Sandwich Islands
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,2021-08-11 17:46:00,9,green,Yes,1,846,us,1.273,mww,55.14,6.4547,126.742,"Pondaguitan, Philippines",Asia,Philippines
"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,2021-07-29 06:15:00,8,green,Yes,1,1237,us,0.875,mww,46.66,55.4742,-157.917,"Perryville, Alaska",North America,United States
"M 8.2 - 99 km SE of Perryville, Alaska",8.2,2021-07-29 06:15:00,8,yellow,Yes,1,1252,ak,0,mww,35,55.3154,-157.829,"Perryville, Alaska",North America,United States
"M 6.7 - 15 km S of Hukay, Philippines",6.7,2021-07-23 20:48:00,8,green,Yes,1,935,us,8.139,mww,110,13.6989,120.713,"Hukay, Philippines",Asia,Philippines
"M 6.7 - 71 km S of Burica, Panama",6.7,2021-07-21 21:15:00,6,green,Yes,1,830,us,1.395,mww,10,7.5904,-82.8813,"Burica, Panama",North America,Panama
"M 6.5 - Kermadec Islands, New Zealand",6.5,2021-06-20 17:05:00,0,green,Yes,1,650,us,7.994,mww,25,-30.2144,-177.773,"Kermadec Islands, New Zealand",Oceania,Tonga
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,2021-05-21 22:13:00,5,green,Yes,1,652,us,4.518,mww,10,-16.4796,-177.356,"Alo, Wallis and Futuna",Oceania,Wallis and Futuna
"M 7.3 - Southern Qinghai, China",7.3,2021-05-21 18:04:00,9,orange,No,0,1025,us,4.655,mww,10,34.5861,98.2551,"Southern Qinghai, China",Asia,China
"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,2021-05-14 06:33:00,8,green,No,0,698,us,1.487,mww,11,0.1684,96.6475,"Sinabang, Indonesia",Asia,Indonesia
M 6.7 - Mauritius - Reunion region,6.7,2021-05-12 14:05:00,9,green,No,0,694,us,10.669,mww,10,-17.2495,66.3745,Mauritius - Reunion region,Africa,Mauritius
M 6.9 - ,6.9,2021-05-01 01:27:00,7,green,Yes,1,919,us,2.619,mww,43,38.2296,141.665,,Asia,Japan
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,2021-04-25 22:28:00,4,green,No,0,651,us,5.931,mww,246,-21.6857,-177.064,"Haveluloto, Tonga",Oceania,Tonga
"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,2021-04-24 00:23:00,6,green,No,0,652,us,10.405,mww,301,-18.9204,-176.235,"Pangai, Tonga",Oceania,Tonga
"M 7.0 - 30 km E of Ishinomaki, Japan",7,2021-03-20 09:09:00,7,yellow,Yes,1,1052,us,2.378,mww,43,38.4752,141.607,"Ishinomaki, Japan",Asia,Japan
"M 6.6 - 171 km SSE of Ustâ€™-Kamchatsk Staryy, Russia",6.6,2021-03-16 18:38:00,5,green,Yes,1,672,us,3.183,mww,13.23,54.7018,163.208,"Ustâ€™-Kamchatsk Staryy, Russia",Europe,Russian Federation
M 6.5 - Kermadec Islands region,6.5,2021-03-04 23:12:00,0,green,No,0,650,us,11.764,mwb,24,-28.4792,-176.619,Kermadec Islands region,Oceania,Tonga
"M 8.1 - Kermadec Islands, New Zealand",8.1,2021-03-04 19:28:00,9,green,Yes,1,1021,us,0.739,mww,28.93,-29.7466,-177.224,"Kermadec Islands, New Zealand",Oceania,Tonga
"M 7.4 - Kermadec Islands, New Zealand",7.4,2021-03-04 17:41:00,3,green,Yes,1,843,us,0.437,mww,43,-29.6131,-177.842,"Kermadec Islands, New Zealand",Oceania,Tonga
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,2021-03-04 13:27:00,7,green,Yes,1,932,us,0.918,mww,10,-37.596,179.544,"Gisborne, New Zealand",Oceania,New Zealand
"M 7.1 - 73 km ENE of Namie, Japan",7.1,2021-02-13 14:07:00,9,orange,Yes,1,1612,us,3.085,mww,43.98,37.6856,141.992,"Namie, Japan",Asia,Japan
M 7.7 - southeast of the Loyalty Islands,7.7,2021-02-10 13:19:00,9,green,Yes,1,918,us,7.989,mww,10,-23.2787,171.489,the Loyalty Islands,Oceania,New Caledonia
M 6.9 - South Shetland Islands,6.9,2021-01-23 23:36:00,9,green,Yes,1,739,us,1.55,mww,15,-61.8484,-55.559,South Shetland Islands,Antarctica,Falkland Islands (Malvinas)
"M 7.0 - 211 km SE of Pondaguitan, Philippines",7,2021-01-21 12:23:00,7,green,Yes,1,802,us,2.821,mww,80,5.0074,127.517,"Pondaguitan, Philippines",Asia,Indonesia
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,2021-01-11 21:32:00,8,green,No,0,776,us,2.043,mww,10,51.2407,100.443,"Turt, Mongolia",Asia,Mongolia
"M 6.7 - 146 km WNW of Corral, Chile",6.7,2020-12-27 21:39:00,5,green,Yes,1,776,us,1.319,mww,10,-39.3264,-74.9067,"Corral, Chile",South America,Chile
"M 7.0 - 13 km NNE of NÃ©on KarlovÃ¡sion, Greece",7,2020-10-30 11:51:00,8,orange,No,0,1527,us,1.518,mww,21,37.8973,26.7953,"NÃ©on KarlovÃ¡sion, Greece",Europe,Greece
"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,2020-10-19 20:54:00,9,yellow,Yes,1,1165,us,0.23,mww,28.37,54.662,-159.675,"Sand Point, Alaska",North America,United States
M 6.9 - central Mid-Atlantic Ridge,6.9,2020-09-18 21:43:00,0,green,Yes,1,732,us,11.255,mww,10,0.9604,-26.8332,central Mid-Atlantic Ridge,South America,Brazil
"M 6.5 - 94 km NW of Vallenar, Chile",6.5,2020-09-01 21:09:00,6,green,No,0,674,us,0.388,mww,16,-27.9285,-71.3937,"Vallenar, Chile",South America,Chile
"M 6.8 - 86 km NW of Vallenar, Chile",6.8,2020-09-01 04:09:00,6,green,Yes,1,824,us,0.312,mww,21,-28.013,-71.1958,"Vallenar, Chile",South America,Chile
M 6.5 - central Mid-Atlantic Ridge,6.5,2020-08-30 21:20:00,4,green,No,0,651,us,15.394,mww,10,0.8696,-29.7046,central Mid-Atlantic Ridge,South America,Brazil
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,2020-08-21 04:09:00,4,green,No,0,749,us,2.267,mww,624,-6.6704,123.493,"Katabu, Indonesia",Asia,Indonesia
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,2020-08-18 22:29:00,4,green,No,0,735,us,1.716,mww,26,-4.2791,101.215,"Bengkulu, Indonesia",Asia,Indonesia
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,2020-08-18 22:23:00,5,green,No,0,716,us,1.816,mww,22,-4.3724,101.095,"Bengkulu, Indonesia",Asia,Indonesia
"M 6.6 - 13 km E of San Pedro, Philippines",6.6,2020-08-18 00:03:00,9,yellow,Yes,1,784,us,5.128,mww,10,12.0065,124.13,"San Pedro, Philippines",Asia,Philippines
"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,2020-07-22 06:12:00,9,green,Yes,1,1111,us,0.621,mww,28,55.1079,-158.477,"Perryville, Alaska",North America,United States
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7,2020-07-17 02:50:00,6,green,Yes,1,820,us,1.671,mww,73,-7.847,147.755,"Popondetta, Papua New Guinea",Oceania,Papua New Guinea
"M 6.6 - 97 km N of Batang, Indonesia",6.6,2020-07-06 22:54:00,4,green,No,0,684,us,1.458,mww,533.76,-5.6368,110.678,"Batang, Indonesia",Asia,Indonesia
"M 7.4 - 9 km SE of Santa MarÃ­a Xadani, Mexico",7.4,2020-06-23 15:29:00,8,orange,Yes,1,1494,us,0.151,mww,20,15.9163,-95.9533,"Santa MarÃ­a Xadani, Mexico",North America,Mexico
M 7.4 - south of the Kermadec Islands,7.4,2020-06-18 12:49:00,7,green,Yes,1,873,us,4.035,mww,10,-33.2938,-177.838,the Kermadec Islands,Oceania,New Zealand
"M 6.6 - 130 km WNW of Naze, Japan",6.6,2020-06-13 15:51:00,5,green,Yes,1,734,us,2.015,mww,165,28.9386,128.262,"Naze, Japan",Asia,Japan
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,2020-06-03 07:35:00,6,green,Yes,1,835,us,1.164,mww,112,-23.2966,-68.4204,"San Pedro de Atacama, Chile",South America,Chile
"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,2020-05-15 11:03:00,7,green,No,0,1320,nn,0.357,ml,2.7,38.1689,-117.85,"Monte Cristo Range, NV Earthquake",North America,United States
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,2020-05-12 22:41:00,4,green,Yes,1,671,us,3.403,mww,107,-12.0662,166.648,"Lata, Solomon Islands",Oceania,Solomon Islands
M 6.8 - Banda Sea,6.8,2020-05-06 13:53:00,4,green,No,0,738,us,1.921,mww,96,-6.7762,129.785,Banda Sea,Asia,Indonesia
"M 6.5 - 91 km S of NÃ©a AnatolÃ­, Greece",6.5,2020-05-02 12:51:00,7,green,No,0,678,us,1.293,mww,10,34.1818,25.7101,"NÃ©a AnatolÃ­, Greece",Europe,Greece
"M 6.5 - Stanley, Idaho",6.5,2020-03-31 23:52:00,8,green,No,0,1410,us,0.885,mww,12.06,44.4646,-115.118,"Stanley, Idaho",North America,United States
"M 7.5 - 221 km SSE of Severo-Kurilâ€™sk, Russia",7.5,2020-03-25 02:49:00,6,green,Yes,1,879,us,4.109,mww,57.8,48.9638,157.695,"Severo-Kurilâ€™sk, Russia",Europe,Russian Federation
"M 7.0 - 95 km ENE of Kurilâ€™sk, Russia",7,2020-02-13 10:33:00,5,yellow,Yes,1,770,us,4.501,mww,143,45.6161,148.959,"Kurilâ€™sk, Russia",Asia,Japan
"M 7.7 - 123 km NNW of Lucea, Jamaica",7.7,2020-01-28 19:10:00,9,yellow,Yes,1,1812,us,1.657,mww,14.86,19.4193,-78.756,"Lucea, Jamaica",North America,Jamaica
"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,2020-01-24 17:55:00,8,orange,No,0,1247,us,0.87,mww,10,38.4312,39.0609,"Do?anyol, Turkey",Asia,Türkiye
"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,2019-12-15 06:11:00,9,yellow,Yes,1,825,us,0.546,mww,18,6.6969,125.174,"Magsaysay, Philippines",Asia,Philippines
"M 7.1 - 138km E of Bitung, Indonesia",7.1,2019-11-14 16:17:00,6,green,Yes,1,799,us,1.271,mww,33,1.6213,126.416,"Bitung, Indonesia",Asia,Indonesia
"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.5,2019-11-08 10:44:00,0,green,No,0,650,us,4.765,mww,577,-21.9449,-179.511,"Ndoi Island, Fiji",Oceania,Tonga
"M 6.6 - 136 km W of Neiafu, Tonga",6.6,2019-11-04 22:43:00,4,green,Yes,1,673,us,5.086,mww,10,-18.5747,-175.272,"Neiafu, Tonga",Oceania,Tonga
"M 6.5 - 2km ESE of Kisante, Philippines",6.5,2019-10-31 01:11:00,9,green,Yes,1,733,us,0.428,mww,10,6.9098,125.178,"Kisante, Philippines",Asia,Philippines
"M 6.6 - 10 km NE of Columbio, Philippines",6.6,2019-10-29 01:04:00,9,yellow,Yes,1,780,us,0.646,mww,15,6.7567,125.008,"Columbio, Philippines",Asia,Philippines
"M 6.7 - 70 km WSW of ConstituciÃ³n, Chile",6.7,2019-09-29 15:57:00,7,green,Yes,1,844,us,1.269,mww,11,-35.4758,-73.163,"ConstituciÃ³n, Chile",South America,Chile
"M 6.5 - 11km S of Kairatu, Indonesia",6.5,2019-09-25 23:46:00,7,yellow,Yes,1,656,us,3.909,mww,12.26,-3.4528,128.37,"Kairatu, Indonesia",Asia,Indonesia
"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.6,2019-09-01 15:54:00,2,,Yes,1,671,us,4.121,mww,591,-20.3641,-178.57,"Ndoi Island, Fiji",Oceania,Tonga
"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,2019-08-27 23:55:00,0,green,Yes,1,670,us,12.896,mww,16,-60.2152,-26.5801,"Bristol Island, South Sandwich Islands",South America,South Georgia and the South Sandwich Islands
"M 6.9 - 152 km SW of Labuan, Indonesia",6.9,2019-08-02 12:03:00,4,green,No,0,875,us,2.839,mww,49,-7.2822,104.791,"Labuan, Indonesia",Asia,Indonesia
"M 6.8 - 96 km SW of San Antonio, Chile",6.8,2019-08-01 18:28:00,6,green,Yes,1,947,us,0.817,mww,25,-34.2364,-72.3102,"San Antonio, Chile",South America,Chile
"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,2019-07-31 15:02:00,0,green,Yes,1,670,us,6.024,mww,181,-16.1985,167.998,"Lakatoro, Vanuatu",Oceania,Vanuatu
"M 7.2 - 93km NNE of Laiwui, Indonesia",7.2,2019-07-14 09:10:00,7,green,Yes,1,809,us,1.504,mww,18.98,-0.5858,128.034,"Laiwui, Indonesia",Asia,Indonesia
"M 6.6 - 200km W of Broome, Australia",6.6,2019-07-14 05:39:00,5,green,No,0,791,us,2.978,mww,10,-18.2242,120.358,"Broome, Australia",Oceania,Australia
"M 6.9 - 134km WSW of Kota Ternate, Indonesia",6.9,2019-07-07 15:08:00,7,green,No,0,747,us,1.205,mww,35,0.5126,126.189,"Kota Ternate, Indonesia",Asia,Indonesia
"M 7.1 - 18km W of Searles Valley, CA",7.1,2019-07-06 03:19:00,9,yellow,No,0,1646,ci,0.04616,mw,8,35.7695,-117.599,"Searles Valley, CA",North America,United States
"M 7.3 - 292km NW of Saumlaki, Indonesia",7.3,2019-06-24 02:53:00,4,green,Yes,1,952,us,2.629,mww,212,-6.4078,129.169,"Saumlaki, Indonesia",Asia,Indonesia
"M 7.3 - 116km NE of L'Esperance Rock, New Zealand",7.3,2019-06-15 22:55:00,8,green,Yes,1,830,us,1.402,mww,46,-30.6441,-178.1,"L'Esperance Rock, New Zealand",Oceania,Tonga
"M 6.6 - 32 km S of La Libertad, El Salvador",6.6,2019-05-30 09:03:00,7,yellow,Yes,1,886,us,1.193,mww,57.92,13.1994,-89.3056,"La Libertad, El Salvador",North America,El Salvador
"M 8.0 - 78 km NE of Navarro, Peru",8,2019-05-26 07:41:00,9,orange,Yes,1,1890,us,3.18,mww,122.57,-5.8119,-75.2697,"Navarro, Peru",South America,Peru
"M 7.6 - 46km SSE of Namatanai, Papua New Guinea",7.6,2019-05-14 12:58:00,7,green,Yes,1,929,us,0.453,mww,10,-4.051,152.597,"Namatanai, Papua New Guinea",Oceania,Papua New Guinea
"M 7.1 - 33km NW of Bulolo, Papua New Guinea",7.1,2019-05-06 21:19:00,7,yellow,Yes,1,826,us,2.514,mww,146,-6.9746,146.449,"Bulolo, Papua New Guinea",Oceania,Papua New Guinea
"M 6.8 - 98km SSW of Luwuk, Indonesia",6.8,2019-04-12 11:40:00,5,green,Yes,1,717,us,0.791,mww,15.46,-1.8146,122.58,"Luwuk, Indonesia",Asia,Indonesia
"M 6.5 - 83km ENE of Bristol Island, South Sandwich Islands",6.5,2019-04-09 17:53:00,0,green,Yes,1,650,us,7.568,mww,38,-58.6262,-25.304,"Bristol Island, South Sandwich Islands",South America,South Georgia and the South Sandwich Islands
"M 7.0 - 22 km NNE of AzÃ¡ngaro, Peru",7,2019-03-01 08:50:00,7,green,Yes,1,869,us,2.501,mww,267,-14.7131,-70.1546,"AzÃ¡ngaro, Peru",South America,Peru
"M 7.5 - 111km ESE of Palora, Ecuador",7.5,2019-02-22 10:17:00,7,yellow,Yes,1,1145,us,2.045,mww,145,-2.1862,-77.0505,"Palora, Ecuador",South America,Ecuador
"M 6.7 - 5 km SW of Puerto Madero, Mexico",6.7,2019-02-01 16:14:00,6,yellow,Yes,1,909,us,0.289,mww,66,14.6802,-92.4527,"Puerto Madero, Mexico",North America,Mexico
M 6.7 - Prince Edward Islands region,6.7,2019-01-22 19:01:00,0,green,No,0,691,us,7.527,mww,13,-43.1219,42.3568,Prince Edward Islands region,Africa,South Africa
"M 6.7 - 10 km SSW of Coquimbo, Chile",6.7,2019-01-20 01:32:00,8,orange,Yes,1,1600,us,0.173,mww,63,-30.0404,-71.3815,"Coquimbo, Chile",South America,Chile
"M 6.6 - 94 km NW of Sola, Vanuatu",6.6,2019-01-15 18:06:00,5,green,Yes,1,671,us,7.818,mww,35,-13.336,166.875,"Sola, Vanuatu",Oceania,Vanuatu
M 6.6 - Molucca Sea,6.6,2019-01-06 17:27:00,2,green,Yes,1,672,us,1.596,mww,43.21,2.258,126.758,Molucca Sea,Asia,Indonesia
"M 6.8 - 90km W of Tarauaca, Brazil",6.8,2019-01-05 19:25:00,3,green,No,0,715,us,1.181,mww,570.41,-8.144,-71.587,"Tarauaca, Brazil",South America,Brazil
"M 7.0 - 96 km ESE of Pondaguitan, Philippines",7,2018-12-29 03:39:00,5,green,Yes,1,803,us,1.769,mww,60.21,5.8983,126.921,"Pondaguitan, Philippines",Asia,Philippines
"M 7.3 - 187 km SE of Ustâ€™-Kamchatsk Staryy, Russia",7.3,2018-12-20 17:01:00,3,green,Yes,1,822,us,4.126,mww,16.56,55.0999,164.699,"Ustâ€™-Kamchatsk Staryy, Russia",Europe,Russian Federation
M 7.1 - South Sandwich Islands region,7.1,2018-12-11 02:26:00,0,green,Yes,1,776,us,7.043,mww,133,-58.5446,-26.3856,South Sandwich Islands region,South America,South Georgia and the South Sandwich Islands
"M 6.6 - 199 km ESE of Tadine, New Caledonia",6.6,2018-12-05 06:43:00,0,green,Yes,1,670,us,2.679,mww,10,-22.0629,169.733,"Tadine, New Caledonia",Oceania,New Caledonia
"M 7.5 - 166 km ESE of Tadine, New Caledonia",7.5,2018-12-05 04:18:00,3,green,Yes,1,871,us,2.405,mww,10,-21.9496,169.427,"Tadine, New Caledonia",Oceania,New Caledonia
"M 7.1 - 1 km SE of Point MacKenzie, Alaska",7.1,2018-11-30 17:29:00,8,orange,Yes,1,1790,ak,0,mw,46.7,61.3464,-149.955,"Point MacKenzie, Alaska",North America,United States
"M 6.8 - 187 km E of Levuka, Fiji",6.8,2018-11-18 20:25:00,0,green,Yes,1,711,us,2.879,mww,540,-17.8735,-178.927,"Levuka, Fiji",Oceania,Wallis and Futuna
"M 6.7 - 120 km NW of Olonkinbyen, Svalbard and Jan Mayen",6.7,2018-11-09 01:49:00,3,green,Yes,1,693,us,7.853,mww,10,71.6312,-11.2431,"Olonkinbyen, Svalbard and Jan Mayen",Europe,Svalbard and Jan Mayen
"M 6.8 - 32 km SW of LithakiÃ¡, Greece",6.8,2018-10-25 22:54:00,8,yellow,No,0,954,us,2.268,mww,14,37.5203,20.5565,"LithakiÃ¡, Greece",Europe,Greece
"M 6.5 - 237 km SW of Port McNeill, Canada",6.5,2018-10-22 06:22:00,2,green,No,0,655,us,1.692,mww,10,49.297,-129.724,"Port McNeill, Canada",North America,Canada
"M 6.8 - 210 km SW of Port McNeill, Canada",6.8,2018-10-22 06:16:00,4,green,Yes,1,776,us,1.505,mww,10,49.3346,-129.289,"Port McNeill, Canada",North America,Canada
"M 6.5 - 223 km SW of Port McNeill, Canada",6.5,2018-10-22 05:39:00,3,green,Yes,1,669,us,1.611,mww,10,49.2586,-129.412,"Port McNeill, Canada",North America,Canada
"M 6.5 - 171 km E of Tadine, New Caledonia",6.5,2018-10-16 01:03:00,0,green,Yes,1,650,us,2.109,mww,17,-21.7427,169.522,"Tadine, New Caledonia",Oceania,New Caledonia
"M 6.7 - 269 km WNW of Ozernovskiy, Russia",6.7,2018-10-13 11:10:00,0,green,Yes,1,691,us,2.705,mww,461,52.8549,153.243,"Ozernovskiy, Russia",Europe,Russian Federation
"M 6.5 - 154 km S of Severo-Kurilâ€™sk, Russia",6.5,2018-10-10 23:16:00,0,green,Yes,1,650,us,3.923,mww,20,49.2902,156.297,"Severo-Kurilâ€™sk, Russia",Europe,Russian Federation
"M 7.0 - 119 km E of Kimbe, Papua New Guinea",7,2018-10-10 20:48:00,6,green,Yes,1,758,us,1.778,mww,39,-5.7012,151.205,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea
"M 6.7 - 279 km E of Levuka, Fiji",6.7,2018-09-30 10:52:00,2,green,Yes,1,691,us,3.745,mww,550,-18.3604,-178.063,"Levuka, Fiji",Oceania,Tonga
"M 7.5 - 72 km N of Palu, Indonesia",7.5,2018-09-28 10:02:00,8,red,No,0,2026,us,1.649,mww,20,-0.2559,119.846,"Palu, Indonesia",Asia,Indonesia
M 6.5 - south of the Fiji Islands,6.5,2018-09-16 21:11:00,4,green,No,0,651,us,5.139,mww,576,-25.415,178.199,the Fiji Islands,Oceania,Fiji
M 6.9 - Kermadec Islands region,6.9,2018-09-10 04:19:00,3,green,No,0,735,us,2.785,mww,115,-31.7447,-179.373,Kermadec Islands region,Oceania,Tonga
"M 6.5 - 66 km NW of Kirakira, Solomon Islands",6.5,2018-09-09 19:31:00,3,green,Yes,1,651,us,1.638,mww,68,-10.0207,161.503,"Kirakira, Solomon Islands",Oceania,Solomon Islands
"M 7.9 - 45 km S of Levuka, Fiji",7.9,2018-09-06 15:49:00,7,green,Yes,1,979,us,1.431,mww,670.81,-18.4743,179.35,"Levuka, Fiji",Oceania,Fiji
"M 6.6 - 27 km ESE of Chitose, Japan",6.6,2018-09-05 18:07:00,8,orange,Yes,1,1075,us,1.13,mww,35,42.6861,141.929,"Chitose, Japan",Asia,Japan
"M 7.1 - 238 km ESE of Tadine, New Caledonia",7.1,2018-08-29 03:51:00,2,green,Yes,1,776,us,2.548,mww,21.43,-22.0295,170.126,"Tadine, New Caledonia",Oceania,New Caledonia
"M 7.1 - 136 km W of IÃ±apari, Peru",7.1,2018-08-24 09:04:00,0,green,No,0,776,us,3.77,mww,630,-11.0355,-70.8284,"IÃ±apari, Peru",South America,Peru
"M 6.5 - 78 km E of Lakatoro, Vanuatu",6.5,2018-08-21 22:32:00,6,green,Yes,1,652,us,4.797,mww,9,-16.0315,168.143,"Lakatoro, Vanuatu",Oceania,Vanuatu
"M 7.3 - 40 km ENE of CarÃºpano, Venezuela",7.3,2018-08-21 21:31:00,8,yellow,Yes,1,1570,us,1.822,mww,146.82,10.7731,-62.9019,"CarÃºpano, Venezuela",South America,"Venezuela, Bolivarian Republic of"
"M 6.9 - 20 km NNW of Labuan Lombok, Indonesia",6.9,2018-08-19 14:56:00,7,green,No,0,1206,us,2.453,mww,21,-8.319,116.627,"Labuan Lombok, Indonesia",Asia,Indonesia
"M 8.2 - 267 km E of Levuka, Fiji",8.2,2018-08-19 00:19:00,5,green,Yes,1,1050,us,3.63,mww,600,-18.1125,-178.153,"Levuka, Fiji",Oceania,Wallis and Futuna
"M 6.5 - 124 km N of Labuan Bajo, Indonesia",6.5,2018-08-17 15:35:00,5,green,No,0,743,us,2.719,mww,529,-7.3718,119.802,"Labuan Bajo, Indonesia",Asia,Indonesia
"M 6.5 - 108 km WSW of Adak, Alaska",6.5,2018-08-15 21:56:00,6,green,Yes,1,655,us,0.576,mww,33.93,51.4234,-178.026,"Adak, Alaska",North America,United States
"M 6.9 - 36 km NW of Labuan Lombok, Indonesia",6.9,2018-08-05 11:46:00,9,orange,No,0,1704,us,2.271,mww,34,-8.2581,116.438,"Labuan Lombok, Indonesia",Asia,Indonesia
"M 6.9 - 18 km SSW of Leilani Estates, Hawaii",6.9,2018-05-04 22:32:00,7,yellow,Yes,1,1392,hv,0.11,mw,5.81,19.3182,-155,"Leilani Estates, Hawaii",North America,United States
"M 6.8 - 38 km SE of Boyuibe, Bolivia",6.8,2018-04-02 13:40:00,5,green,No,0,733,us,5.32,mww,559,-20.6588,-63.0058,"Boyuibe, Bolivia",South America,"Bolivia, Plurinational State of"
"M 6.9 - 150 km E of Kimbe, Papua New Guinea",6.9,2018-03-29 21:25:00,9,green,Yes,1,741,us,1.487,mww,35,-5.5321,151.5,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea
"M 6.7 - 140 km E of Kimbe, Papua New Guinea",6.7,2018-03-26 09:51:00,5,green,Yes,1,696,us,1.507,mww,40,-5.5024,151.402,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea
"M 6.8 - 103 km E of Kokopo, Papua New Guinea",6.8,2018-03-08 17:39:00,6,green,Yes,1,719,us,1.049,mww,22.86,-4.3762,153.2,"Kokopo, Papua New Guinea",Oceania,Papua New Guinea
"M 6.7 - 62 km SW of Tari, Papua New Guinea",6.7,2018-03-06 14:13:00,8,green,Yes,1,697,us,5.457,mww,20.49,-6.3043,142.612,"Tari, Papua New Guinea",Oceania,Papua New Guinea
"M 7.5 - 32 km SW of Tari, Papua New Guinea",7.5,2018-02-25 17:44:00,9,yellow,Yes,1,943,us,5.48,mww,25.21,-6.0699,142.754,"Tari, Papua New Guinea",Oceania,Papua New Guinea
"M 7.2 - 4 km S of Pinotepa de Don Luis, Mexico",7.2,2018-02-16 23:39:00,7,yellow,Yes,1,1384,us,0.142,mww,22,16.3855,-97.9787,"Pinotepa de Don Luis, Mexico",North America,Mexico
"M 7.9 - 261 km SE of Chiniak, Alaska",7.9,2018-01-23 09:31:00,9,green,Yes,1,1870,us,2.585,mww,14.06,56.0039,-149.166,"Chiniak, Alaska",North America,United States
"M 7.1 - 37 km W of Atiquipa, Peru",7.1,2018-01-14 09:18:00,9,green,Yes,1,1075,us,4.29,mww,39,-15.7675,-74.7092,"Atiquipa, Peru",South America,Peru
"M 7.5 - 203 km NNE of Barra Patuca, Honduras",7.5,2018-01-10 02:51:00,8,green,Yes,1,1623,us,4.581,mww,19,17.4825,-83.52,"Barra Patuca, Honduras",North America,Honduras
"M 6.5 - 12 km SSW of Kawalu, Indonesia",6.5,2017-12-15 16:47:00,8,green,No,0,998,us,2.365,mww,90,-7.4921,108.174,"Kawalu, Indonesia",Asia,Indonesia
M 6.5 - Bouvet Island region,6.5,2017-12-13 18:03:00,1,green,Yes,1,651,us,17.654,mww,17,-54.2189,2.1628,Bouvet Island region,Africa,"Saint Helena, Ascension and Tristan da Cunha"
"M 7.0 - 85 km ENE of Tadine, New Caledonia",7,2017-11-19 22:43:00,4,green,Yes,1,771,us,0.617,mww,10,-21.3246,168.671,"Tadine, New Caledonia",Oceania,New Caledonia
